cregion,cdistrict,pregion,pdistrict,creason,cneed,yr2016,yr2017,yr2018,yr2019,monthname,monthnum,weeknum,monthend,tpeople,yrweeknum,yr
Awdal,Borama,Bakool,Tayeeglow,Drought related,Livelihood Support,7,0,0,0,Jan,1,1,31/01/2016,7,201601,2016
Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,7,0,0,0,Jan,1,1,31/01/2016,7,201601,2016
Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,8,0,0,0,Jan,1,2,31/01/2016,8,201602,2016
Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,5,0,0,0,Jan,1,4,31/01/2016,5,201604,2016
Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,6,0,0,0,Jan,1,4,31/01/2016,6,201604,2016
Awdal,Borama,Bay,Baidoa,Drought related,Livelihood Support,6,0,0,0,Jan,1,3,31/01/2016,6,201603,2016
Awdal,Borama,Bay,Diinsoor,Drought related,Food,7,0,0,0,Jan,1,2,31/01/2016,7,201602,2016
Awdal,Borama,Galgaduud,Cabudwaaq,Drought related,Livelihood Support,6,0,0,0,Jan,1,2,31/01/2016,6,201602,2016
Awdal,Borama,Galgaduud,Cadaado,Drought related,Livelihood Support,8,0,0,0,Jan,1,1,31/01/2016,8,201601,2016
Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,6,0,0,0,Jan,1,4,31/01/2016,6,201604,2016
Awdal,Borama,Hiraan,Jalalaqsi,Drought related,Health,8,0,0,0,Jan,1,2,31/01/2016,8,201602,2016
Awdal,Borama,Middle Juba,Jilib,Drought related,Food,9,0,0,0,Jan,1,4,31/01/2016,9,201604,2016
Awdal,Borama,Nugaal,Burtinle,Drought related,Livelihood Support,6,0,0,0,Jan,1,1,31/01/2016,6,201601,2016
Banadir,Banadir,Banadir,Banadir,Conflict/Insecurity,Shelter,5238,0,0,0,Jan,1,1,31/01/2016,5238,201601,2016
Banadir,Banadir,Banadir,Banadir,Other,Food,11,0,0,0,Jan,1,2,31/01/2016,11,201602,2016
Banadir,Banadir,Banadir,Banadir,Other,Water,23,0,0,0,Jan,1,2,31/01/2016,23,201602,2016
Banadir,Banadir,Banadir,Banadir,Other,Food,720,0,0,0,Jan,1,3,31/01/2016,720,201603,2016
Banadir,Banadir,Banadir,Banadir,Other,Food,300,0,0,0,Jan,1,3,31/01/2016,300,201603,2016
Banadir,Banadir,Banadir,Banadir,Other,Livelihood Support,5,0,0,0,Jan,1,4,31/01/2016,5,201604,2016
Banadir,Banadir,Banadir,Banadir,Other,Food,144,0,0,0,Jan,1,4,31/01/2016,144,201604,2016
Banadir,Banadir,Hiraan,Belet Weyne,Conflict/Insecurity,Water,8,0,0,0,Jan,1,0,31/01/2016,8,201600,2016
Banadir,Banadir,Lower Shabelle,Marka,Conflict/Insecurity,Food,456,0,0,0,Jan,1,1,31/01/2016,456,201601,2016
Banadir,Banadir,Lower Shabelle,Marka,Conflict/Insecurity,Protection,5,0,0,0,Jan,1,1,31/01/2016,5,201601,2016
Banadir,Banadir,Lower Shabelle,Marka,Conflict/Insecurity,Livelihood Support,18,0,0,0,Jan,1,1,31/01/2016,18,201601,2016
Banadir,Banadir,Lower Shabelle,Marka,Conflict/Insecurity,Protection,5,0,0,0,Jan,1,2,31/01/2016,5,201602,2016
Banadir,Banadir,Lower Shabelle,Marka,Conflict/Insecurity,Protection,14,0,0,0,Jan,1,2,31/01/2016,14,201602,2016
Banadir,Banadir,Lower Shabelle,Qoryooley,Conflict/Insecurity,Food,26,0,0,0,Jan,1,2,31/01/2016,26,201602,2016
Banadir,Banadir,Lower Shabelle,Qoryooley,Conflict/Insecurity,Food,39,0,0,0,Jan,1,4,31/01/2016,39,201604,2016
Banadir,Banadir,Lower Shabelle,Qoryooley,Other,Food,6,0,0,0,Jan,1,4,31/01/2016,6,201604,2016
Bari,Bossaso,Banadir,Banadir,Drought related,Food,5,0,0,0,Jan,1,3,31/01/2016,5,201603,2016
Bari,Bossaso,Banadir,Banadir,Drought related,Food,5,0,0,0,Jan,1,4,31/01/2016,5,201604,2016
Bari,Bossaso,Banadir,Banadir,Drought related,Other,6,0,0,0,Jan,1,4,31/01/2016,6,201604,2016
Bari,Qardho,Banadir,Banadir,Drought related,Livelihood Support,3,0,0,0,Jan,1,1,31/01/2016,3,201601,2016
Bari,Qardho,Banadir,Banadir,Drought related,Shelter,4,0,0,0,Jan,1,4,31/01/2016,4,201604,2016
Bari,Qardho,Bari,Qardho,Other,Health,8,0,0,0,Jan,1,2,31/01/2016,8,201602,2016
Bari,Qardho,Galgaduud,Cadaado,Drought related,Other,5,0,0,0,Jan,1,2,31/01/2016,5,201602,2016
Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Shelter,9,0,0,0,Jan,1,1,31/01/2016,9,201601,2016
Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Livelihood Support,7,0,0,0,Jan,1,4,31/01/2016,7,201604,2016
Bari,Qardho,Lower Shabelle,Qoryooley,Conflict/Insecurity,Livelihood Support,7,0,0,0,Jan,1,0,31/01/2016,7,201600,2016
Bari,Qardho,Nugaal,Garoowe,Drought related,Shelter,3,0,0,0,Jan,1,1,31/01/2016,3,201601,2016
Bari,Qardho,Nugaal,Garoowe,Other,Health,8,0,0,0,Jan,1,2,31/01/2016,8,201602,2016
Bari,Qardho,Nugaal,Garoowe,Other,Livelihood Support,5,0,0,0,Jan,1,2,31/01/2016,5,201602,2016
Bay,Baidoa,Bakool,Waajid,Drought related,Food,14,0,0,0,Jan,1,2,31/01/2016,14,201602,2016
Bay,Baidoa,Bari,Bossaso,Other,Food,6,0,0,0,Jan,1,4,31/01/2016,6,201604,2016
Bay,Baidoa,Bay,Baidoa,Conflict/Insecurity,Livelihood Support,5,0,0,0,Jan,1,1,31/01/2016,5,201601,2016
Bay,Baidoa,Bay,Baidoa,Conflict/Insecurity,Food,7,0,0,0,Jan,1,1,31/01/2016,7,201601,2016
Bay,Baidoa,Bay,Baidoa,Conflict/Insecurity,Health,9,0,0,0,Jan,1,1,31/01/2016,9,201601,2016
Bay,Baidoa,Bay,Baidoa,Conflict/Insecurity,Livelihood Support,29,0,0,0,Jan,1,1,31/01/2016,29,201601,2016
Bay,Baidoa,Bay,Baidoa,Drought related,Shelter,7,0,0,0,Jan,1,0,31/01/2016,7,201600,2016
Bay,Baidoa,Bay,Baidoa,Drought related,Food,8,0,0,0,Jan,1,1,31/01/2016,8,201601,2016
Bay,Baidoa,Bay,Baidoa,Drought related,Shelter,7,0,0,0,Jan,1,2,31/01/2016,7,201602,2016
Bay,Baidoa,Bay,Baidoa,Drought related,Food,7,0,0,0,Jan,1,3,31/01/2016,7,201603,2016
Bay,Baidoa,Bay,Diinsoor,Drought related,Shelter,7,0,0,0,Jan,1,1,31/01/2016,7,201601,2016
Bay,Baidoa,Bay,Diinsoor,Drought related,Shelter,10,0,0,0,Jan,1,1,31/01/2016,10,201601,2016
Bay,Baidoa,Bay,Diinsoor,Drought related,Shelter,10,0,0,0,Jan,1,2,31/01/2016,10,201602,2016
Bay,Baidoa,Bay,Diinsoor,Other,Health,14,0,0,0,Jan,1,3,31/01/2016,14,201603,2016
Bay,Baidoa,Bay,Qansax Dheere,Drought related,Shelter,4,0,0,0,Jan,1,0,31/01/2016,4,201600,2016
Bay,Baidoa,Bay,Qansax Dheere,Drought related,Shelter,26,0,0,0,Jan,1,1,31/01/2016,26,201601,2016
Bay,Baidoa,Bay,Qansax Dheere,Drought related,Shelter,5,0,0,0,Jan,1,2,31/01/2016,5,201602,2016
Bay,Baidoa,Bay,Qansax Dheere,Drought related,Livelihood Support,9,0,0,0,Jan,1,4,31/01/2016,9,201604,2016
Galgaduud,Dhuusamarreeb,Galgaduud,Cadaado,Conflict/Insecurity,Food,121,0,0,0,Jan,1,2,31/01/2016,121,201602,2016
Galgaduud,Dhuusamarreeb,Galgaduud,Cadaado,Conflict/Insecurity,Food,9,0,0,0,Jan,1,2,31/01/2016,9,201602,2016
Galgaduud,Dhuusamarreeb,Galgaduud,Cadaado,Conflict/Insecurity,Water,8,0,0,0,Jan,1,2,31/01/2016,8,201602,2016
Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,Food,140,0,0,0,Jan,1,3,31/01/2016,140,201603,2016
Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,Food,205,0,0,0,Jan,1,3,31/01/2016,205,201603,2016
Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,Food,450,0,0,0,Jan,1,3,31/01/2016,450,201603,2016
Gedo,Baardheere,Gedo,Garbahaarey,Conflict/Insecurity,Food,168,0,0,0,Jan,1,4,31/01/2016,168,201604,2016
Gedo,Belet Xaawo,Gedo,Belet Xaawo,Conflict/Insecurity,Food,690,0,0,0,Jan,1,3,31/01/2016,690,201603,2016
Gedo,Belet Xaawo,Gedo,Belet Xaawo,Conflict/Insecurity,Food,750,0,0,0,Jan,1,3,31/01/2016,750,201603,2016
Gedo,Belet Xaawo,Gedo,Belet Xaawo,Conflict/Insecurity,Other,660,0,0,0,Jan,1,3,31/01/2016,660,201603,2016
Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,Food,13,0,0,0,Jan,1,2,31/01/2016,13,201602,2016
Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,Shelter,11,0,0,0,Jan,1,2,31/01/2016,11,201602,2016
Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,Food,18,0,0,0,Jan,1,3,31/01/2016,18,201603,2016
Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,Food,150,0,0,0,Jan,1,3,31/01/2016,150,201603,2016
Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,Food,4,0,0,0,Jan,1,3,31/01/2016,4,201603,2016
Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,Food,10,0,0,0,Jan,1,3,31/01/2016,10,201603,2016
Gedo,Belet Xaawo,Gedo,Garbahaarey,Conflict/Insecurity,Shelter,13,0,0,0,Jan,1,3,31/01/2016,13,201603,2016
Gedo,Ceel Waaq,Gedo,Belet Xaawo,Conflict/Insecurity,Food,110,0,0,0,Jan,1,3,31/01/2016,110,201603,2016
Gedo,Ceel Waaq,Gedo,Garbahaarey,Conflict/Insecurity,Food,210,0,0,0,Jan,1,3,31/01/2016,210,201603,2016
Gedo,Ceel Waaq,Gedo,Garbahaarey,Conflict/Insecurity,Food,192,0,0,0,Jan,1,3,31/01/2016,192,201603,2016
Gedo,Garbahaarey,Gedo,Garbahaarey,Conflict/Insecurity,Food,1210,0,0,0,Jan,1,2,31/01/2016,1210,201602,2016
Gedo,Garbahaarey,Gedo,Garbahaarey,Conflict/Insecurity,Food,2980,0,0,0,Jan,1,2,31/01/2016,2980,201602,2016
Gedo,Garbahaarey,Gedo,Garbahaarey,Conflict/Insecurity,Food,102,0,0,0,Jan,1,3,31/01/2016,102,201603,2016
Gedo,Garbahaarey,Gedo,Garbahaarey,Conflict/Insecurity,Food,400,0,0,0,Jan,1,3,31/01/2016,400,201603,2016
Gedo,Luuq,Bakool,Xudur,Drought related,Food,3,0,0,0,Jan,1,4,31/01/2016,3,201604,2016
Gedo,Luuq,Gedo,Luuq,Drought related,Other,7,0,0,0,Jan,1,4,31/01/2016,7,201604,2016
Lower Juba,Kismayo,Lower Juba,Jamaame,Drought related,Food,10,0,0,0,Jan,1,2,31/01/2016,10,201602,2016
Lower Shabelle,Afgooye,Lower Shabelle,Marka,Conflict/Insecurity,Protection,10,0,0,0,Jan,1,1,31/01/2016,10,201601,2016
Lower Shabelle,Marka,Lower Shabelle,Marka,Conflict/Insecurity,Protection,6,0,0,0,Jan,1,2,31/01/2016,6,201602,2016
Lower Shabelle,Marka,Lower Shabelle,Marka,Conflict/Insecurity,Protection,14,0,0,0,Jan,1,2,31/01/2016,14,201602,2016
Lower Shabelle,Marka,Lower Shabelle,Marka,Conflict/Insecurity,Protection,13,0,0,0,Jan,1,3,31/01/2016,13,201603,2016
Lower Shabelle,Marka,Lower Shabelle,Marka,Conflict/Insecurity,Protection,51,0,0,0,Jan,1,3,31/01/2016,51,201603,2016
Lower Shabelle,Qoryooley,Lower Shabelle,Kurtunwaarey,Conflict/Insecurity,Livelihood Support,5,0,0,0,Jan,1,4,31/01/2016,5,201604,2016
Middle Juba,Bu'aale,Bay,Diinsoor,Drought related,Other,126,0,0,0,Jan,1,2,31/01/2016,126,201602,2016
Middle Juba,Jilib,Gedo,Baardheere,Drought related,Food,7,0,0,0,Jan,1,4,31/01/2016,7,201604,2016
Middle Juba,Jilib,Gedo,Baardheere,Drought related,Health,11,0,0,0,Jan,1,4,31/01/2016,11,201604,2016
Middle Juba,Jilib,Gedo,Baardheere,Drought related,Transport,11,0,0,0,Jan,1,4,31/01/2016,11,201604,2016
Middle Juba,Jilib,Gedo,Baardheere,Drought related,Livelihood Support,12,0,0,0,Jan,1,4,31/01/2016,12,201604,2016
Middle Juba,Jilib,Lower Shabelle,Baraawe,Drought related,Health,124,0,0,0,Jan,1,1,31/01/2016,124,201601,2016
Middle Juba,Saakow,Bay,Diinsoor,Other,Food,12,0,0,0,Jan,1,3,31/01/2016,12,201603,2016
Middle Juba,Saakow,Gedo,Baardheere,Drought related,Health,11,0,0,0,Jan,1,0,31/01/2016,11,201600,2016
Middle Juba,Saakow,Gedo,Baardheere,Drought related,Livelihood Support,12,0,0,0,Jan,1,0,31/01/2016,12,201600,2016
Middle Juba,Saakow,Gedo,Baardheere,Drought related,Food,107,0,0,0,Jan,1,1,31/01/2016,107,201601,2016
Middle Juba,Saakow,Gedo,Baardheere,Drought related,Health,11,0,0,0,Jan,1,2,31/01/2016,11,201602,2016
